d	g
2.90E-05	NM
1.003021584	NM
2.005555418	NM
57.0213	IAM
0.9841	Dea
58.0244	IAM
15.9948	Monox
-115.1201	Ubiquit/2xIAM
-114.117	Ubiquit/2xIAM
16.9979	Monox
1.9691	Dea
-11.0339	RC_Ox
59.0087	IAM+dea
230.1658249	NM
229.1627169	NM
-172.1417	(-)TMT_IAM
3.007773028	NM
-10.0309	RC_Ox
-113.1328	2xIAM+dea
-171.1384	(-)TMT_IAM
2.9901	Dea
17.02608128	NM
151.9963732	C_carb_DTT
115.0459	2xIAM
58.0057	IAM+dea
59.0087	IAM+dea
-114.136	2xIAM+dea
114.0428	2xIAM
152.9995776	C_carb_DTT
-9.0339	IrrC_ox
16.9804	ox+dea
17.9827	ox+dea
229.1627	NM
31.9894	diox
60.029	IAM
32.9926	diox
-170.1357	(-)TMT_IAM
60.0111	IAM
3.9945	kyn
-8.0327	IrrC_ox
152.9809	C_carb_DTT
-171.1574	IAM
4.9977	kyn
-229.1909109	NM
21.98082471	NM
458.3259577	NM
-18.01069439	NM
21.98082471	NM
-17.02637323	NM
-458.3056874	NM
32.9926	diox
