DM	Residue	Freq
-458.325864	NT	1
-458.325864	K	1
-442.330949	K	1
-442.330949	NT	1
-422.325864	K	1
-421.341848	K	1
-406.330949	K	1
-404.315299	K	1
-403.331283	K	1
-388.320384	K	1
-376.312384	K	1
-376.312384	NT	1
-360.330488	NT	1
-360.330488	K	1
-359.333453	NT	1
-359.333453	K	1
-350.304734	K	1
-344.276762	NT	1
-344.276762	K	1
-320.172118	C	1
-300.236431	K	1
-286.220781	K	1
-270.225867	K	1
-260.205131	K	1
-258.189481	K	1
-256.210217	K	1
-254.248711	K	1
-246.189481	NT	1
-244.173831	K	1
-243.214968	K	1
-242.230952	K	1
-230.194566	NT	1
-230.194566	K	1
-229.162932	NT	1
-229.162932	K	1
-228.282014	K	1
-228.282014	NT	1
-226.21741	K	1
-220.198983	K	1
-217.162932	NT	1
-214.199652	K	1
-213.168017	NT	1
-210.222496	K	1
-203.18058	NT	1
-203.18058	K	1
-201.168017	K	1
-201.168017	NT	1
-197.173102	NT	1
-197.173102	K	1
-194.194566	K	1	
-187.185665	NT	1
-187.185665	K	1
-187.185665	M	1
-187.152367	K	1
-186.154031	K	1
-186.154031	NT	1
-175.152367	K	1
-174.168351	K	1
-172.138381	K	1
-172.138381	NT	1
-171.178582	K	1
-170.159116	K	1
-170.159116	M	1
-170.159116	NT	1
-167.147282	K	1
-159.157452	K	1
-157.133802	K	1
-157.133802	NT	1
-156.143466	K	1
-156.143466	M	1
-156.143466	NT	1
-147.149452	NT	1
-147.149452	K	1
-143.162537	K	1
-143.126153	K	1
-141.138887	M	1
-141.138887	NT	1
-129.138887	K	1
-129.138887	NT	1
-121.141803	K	1
-115.120005	K	1
-114.141007	K	1
-114.141007	NT	1
-113.143972	K	1
-113.143972	NT	1
-112.138097	K	1
-103.009185	C	1
-98.146092	K	1
-98.146092	NT	1
-97.14905703	K	1
-97.14905703	NT	1
-95.14234703	NT	1
-94.13899203	NT	1
-91.009186	C	1
-90.025169	C	1
-88.993535	C	1
-82.151177	K	1
-82.151177	NT	1
-75.014270	C	1
-72.998620	C	1
-72.11742303	K	1
-72.11742303	NT	1
-67.110108	K	1
-62.977885	C	1
-60.962235	C	1
-59.037114	C	1
-58.982970	C	1
-56.12250803	K	1
-56.12250803	NT	1
-46.946584	C	1
-45.987721	C	1
-45.003705	C	1
-33.987721	C	1
-31.972071	C	1
-31.935685	C	1
-30.988055	C	1
-28.990164	C	1
-25.031634	C	1
-22.971737	C	1
-22.067486	C	1
-12.995249	C	1
-12.962235	C	1
-11.033743	C	1
-9.036719	C	1
-3.929537	C	1
-2.015650	C	1
-1.031634	NA	1
-1.012295	NA	1
-0.028279	NA	1
3.032680	C	1
4.978931	W	1
15.994915	A	1
15.994915	F	1
15.994915	M	1
15.994915	C	1
15.994915	P	1
15.994915	W	1
15.994915	Y	1
26.048664	C	1
31.989829	M	1
31.989829	P	1
31.989829	W	1
31.989829	Y	1
31.989829	F	1
36.000000	K	1
47.984745	W	1
47.984745	Y	1
49.955943	Y	1
49.955943	W	1
54.010565	K	1
57.024551	M	1
57.024551	K	1
57.024551	T	1
57.024551	H	1
57.024551	S	1
62.01565	K	1
61.982636	C	1
71.032095	K	1
71.032095	NT	1
72.02912997	M	1
72.02912997	Y	1
72.02912997	W	1
72.02912997	H	1
73.016379	C	1
73.019466	M	1
89.014381	M	1
91.975442	C	1
100.024045	S	1
100.024045	T	1
152.980587	C	1
154.065171	K	1
168.080821	K	1
182.096471	K	1
197.227247	C	1
209.018035	C	1
230.146948	K	1
230.146948	NT	1
244.173831	Y	1
245.157847	K	1
245.157847	NT	1
246.189481	K	1
246.189481	NT	1
261.152762	K	1
261.152762	NT	1
261.152762	K	1
261.152762	NT	1
286.184396	K	1
286.184396	NT	1
297.084987	Y	1
297.084987	Y	1
298.069003	Y	1
458.325864	T	1
458.325864	T	1
